S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
5024,Pathology,Inflammation,Which of the following is Opsonin,C3b,Cadherin,Selectin,IgE,,1,
5025,Pathology,Immunolgy,The complement is  best fixed by which of the following immunoglobulins,IgG,IgM,IgA,LgD,,2,
5026,Pathology,Inflammation,Factor presents in the final common terminal complement pathway is -,C4,C3,C5,Protein B,,3,
5027,Pathology,Inflammation,Complement responsible for activation of bacterial lysis is-,C3a,C3b,C5-9,CS,,3,
5028,Pathology,Inflammation,C3 convertase acts on -,C4b2b,C4b2b3a,C4b,C3,,4,
5029,Pathology,Inflammation,Both antibody dependent and independent complement pathway converge on which complement component -,C3,C5,C4,C8,,1,
5030,Pathology,Inflammation,Which of the following best denotes classical complement pathway activation in immunoinflammatory condition -,"Â Cl, C4 and C3 decreased Recent exam 2016","Â C2 and C4 normal, C3 is decreased",Â C3 normal and C2 C4 decreased,,,4,
5031,Pathology,hematology,What is not caused by platelet activating factor?,Â Vasoconstriction Recent exam 2017,Â Bronchodilation,Â Causes platelet aggregation,Â Transmits signals between cells,,2,
5032,Pathology,hematlology,Which of following has anti-histamine properties -,Â Eosinophil Recent Exam 2016,Â Basophil,Â Neutrophil,Â Monocyte,,5,Since they have histaminase in their granules.
5033,Pathology,hematology,"Increased capillary permeability is caused by all of the following except -	(Recent exam 2016)",Â Anaphylatoxin,Â 5-hydroxytryptamine,Â Renin,Â Histamines,,3,"Mediators involved in increasing vascular permeability are:a)	Histamine (from venules-not capillaries or arteries) / serotoninb)	Anaphylatoxinsc)	Bradykinind)	LTC4, D4, E4e)	PAF"
5034,Pathology,hematology,"Actions of bradykinin include all of the following, except -",Â Vasodilatation Recent exam 2017,Â Bronchodilatation,Â Increased vascular permeability,Â Pain,,2,
5035,Pathology,hematology,All of following are correct about thromboxane A2 except -,Â Low dose aspirin inhibits its synthesis.,Causes vasoconstriction in blood vessels.,Â Causes bronchoconstriction,Secreted by WBC,,4,
5036,Pathology,Inflammation,Bradykinin causes -,Â Vasoconstriction,Â Pain at the site of inflammation,Â Bronchodilatationâ€™,Â Decreased vascular permeability,,2,"Kallikrein converts circulating high-molecular-weight kininogen (HMWK) into bradykinin	It causes:a)	Vasodilation b)	Increased vascular permeabilityc)	Pain"
5037,Pathology,Inflammation,What is the most important role of bradykinin in acute inflammation?,Â Increase in vascular permeability,Â Vasodilatation,Â Mediation of pain,Â Bronchoconstriction,,1,
5038,Pathology,Inflammation,Histamine causes all except,Â Arteriolar dilatation,Â Increased permeability of venules,Â Constriction of large arteries,Platelet aggregation,,4,
5039,Pathology,Cell injury,Phagocytic cells in brain -,Oligodendrocytes,Macrophages,Microglia,Astrocytes,,3,
5040,Pathology,Hematology,The cells with abilityto engage with and damage large extracellular parasite are -,Basophil,Eosinophil,Neutrophil,Kupffer cells,,2,Parasites are phagocytosed and damaged by eosinophil. Note: Eosinophil is also a phagocytic cells.
5041,Pathology,immunology,"Chediak-Higashi syndrome, defect is -",Fusion of lysosome â€˜,T cells,B cells,Complement,,1,
5042,Pathology,Gen path,Most effective bactericidal system within phagocytes is -,Â Lysozyme mediated Recent Exam 2017,Â Lactoferrin mediated,Â Reactive oxygen metabolite mediated,Â Cationic basic protein mediated,,3,
5043,Pathology,immunology,"Chediak-Higashi syndrome, true is -",Â Defect in phagocytosis â€¢,Â Neutropenia,Â Agammaglobulinemia,Â IgA deficiency,,1,"Chediak-Higashi syndrome	An autosomal recessive phagocytic disorder.	It occurs due to mutation in LYST gene (defective transport of materials into lysosomes).	Defect lies in fusion between phagosome and lysosome (impaired bacteriolysis)"
5044,Pathology,Gen path,Nitroblue tetrazolium test is used for,Phagocytes,Complement,Tcell,Bcell,,1,
5045,Pathology,Gen path,Which of the following enzymes are responsible for generating 'oxygen burst'within neutrophils for killing intracellular bacteria?,Â Superoxide dismutase JIPMER 2015,Â Glutathione peroxidase,Oxidase,Â Catalase,,3,
5046,Pathology,Gen path,which of the following helps in generating reactive oxygen species (2 intermediates in neutrophils)?,Â NADPH oxidase,Â Superoxide dismutase SOD,Catalase,Â Glutathione peroxidase,,1,
5047,Pathology,Gen path,Lack of leucocyte adhesion molecules (LAM) is associated with,Â Delayed closure of umbilical cord Recent exam 2017,Â Normal chemotaxis,Â Compliment opsonisation,Â Neutropenia,,5,
5048,Pathology,Gen path,"All of the following enzymes may contribute in generating free oxygen radicals within neutrophils for killing intracellular bacteria, except",Â Superoxide dismutase,Â Fentonâ€™s reaction,Â NADPH oxidase,Â Glutathione peroxidase P,,4,Glutathione peroxidase is primarilya scavenger of free radicals and catalyzes free radical breakdown (does not generates free radicals)
5049,Pathology,Gen path,Oxygen dependent killing is done through,NADPH oxidase,Superoxide dismutase,Catalase,Glutathione peroxidase,,1,
5050,Pathology,Gen path,The process increasing the abilityfor phagocytosis of foreign bodies by phagocytic cells is called,Â Cross reactivity,Â Opsonization,Immune tolerance,Immune surveillance,,2,
5051,Pathology,Neoplasia,Which one of the following statements is correct regarding chronic granulomatous disease?,Â It is an autosomal dominant disease,Â It is characterized by abnormal bacterial phagocytosis,Â Recurrent streptococcal infections are usual in this disease,Â Nitroblue tetrazolium test is useful for screening,,5,
5052,Pathology,Gen path,The most abundant glycoprotein present in basement membrane is-,Â Laminin,Â Fibronectin,Â Collagen type 4,Â Heparan sulphate,,1,Laminin is the most abundant glycoprotein in basement membranes.
5053,Pathology,Gen path,Basement membrane degeneration is mediated by,Â Metalloproteinases,Â Oxidases,Â Elastases,Â Hydroxylases,,1,
5054,Pathology,Gen path,Triple helix is found in,Cystine,Collagen,Pectin,DNA,,2,
5055,Pathology,Gen path,Oval cells seen in stem cells of,Skin,Cornea,Liver,Bone,,3,
5056,Pathology,Gen path,Which are not labile cells?,Â Bone marrow,Â Intestinal mucosa,Â Epithelium of skin,Â Hepatocytes,,4,
5057,Pathology,Hematology,Hematopoietic stem cell differ from progenitor stem cell in thatthey can-,Â Form terminally differentiated cells,Â Long-term reconstitution of bone marrow,Â Produce growth factors,Â Have receptors for anchoring proteins,,2,The most important difference between hematopoietic stem cells and progenitor cells is that stem cells can replicate indefinitely whereas progenitor cells can divide only a limited number of times.
5058,Pathology,Gen path,Stem cells are taken from all except -,Â Liver,Â Bone marrow,Â Blood,Â Adipose tissue,,1,Sources of adult stem cells in humans are:
5059,Pathology,Gen path,Which of the following statements is not correct regarding stem cell?,Â Developmental elasticity,Â Trans differentiation,Â Can be harvested from embryo,Â Knock out mice made possible because of it,,1,
5060,Pathology,Gen path,During angiogenesis recruitment of pericytes and periendothelial cells is due to,Â VEGF and PDGF,Â Angiopoietins.TGF and PDGF,Â TGF.VEFG and PDGF,"Â VEGF, IL-2, IL-6",,2,"Newly formed vessels are fragile and stabOilized by recruitment of pericytes and smooth muscle cells(periendothelial cells).	This recruitment is done by:a)	Angiopoietin 1 and 2b)	PDGFc)	TGF-p"
5061,Pathology,Gen path,In wound injury sequence of appearance of cells is,Â Macrophage â€”Â» Platelet â€”> Neutrophils â€”Â» Fibroblast,Â Neutrophils â€”> Macrophages â€”> Platelet â€”Â» Fibroblast,Â Platelet â€”> Neutrophils -Â» Macrophages â€”<â€¢ Fibroblast,Platelet â€”> Macrophages â€”> Neutrophils â€”â–º Fibroblast,,5,
5062,Pathology,Gen path,Wound contraction is mediated by,Â Myofibroblasts,Â Epithelial cells,Â Collagen,Â Elastin,,1,Myofibroblast will bring wound contraction and collagen will be deposited to form scar tissue
5063,Pathology,Inflammation,Complete wound strength is gained by,Never regained,1 month,6 months,1 year,,1,
5064,Pathology,Gen path,Maximum collagen in wound healing is seen at -,Â End of first week,Â End of second week,Â End of third week,Â End of 2 months,,2,
5065,Pathology,Gen path,Fibroblast is derived from-,Â Local mesenchyme,Â Macrophage,Â Endothelium,Â Vessels,,1,
5066,Pathology,Gen path,Fibrosis is due to,TGF-B,* TNF-a.,IL-7,IL-10,,1,
5067,Pathology,Gen path,All are true regarding transforming growth factor-p (TG F-p) except-,Â Proliferation for fibroblast,Â Proliferation of endothelial cells,Â Chemotaxis of fibroblasts,Â Activation of macrophages,,4,"Function of TGF-pa)	Chemotactic for PMNs, macrophages (it is for chemotaxis not for activation), lymphocytes, fibroblastsand smooth muscle cellsb)	Stimulates TIMP synthesisc)	Angiogenesis and fibroplasiad)	Inhibits production of MMPs and keratinocyte proliferation93.	A"
5068,Pathology,Gen path,Formation of granulation tissue is due to -,Â Thrombosed vessels,Â Budding of new capillaries,Â Mucosal proliferation,Â Infiltration of cells,,2,
5069,Pathology,Gen path,All of the following statement about Keloid is true except:,Â It is due to excessiveTGF-beta growth factor.,Â It extends beyond the wound margins,Â There is no spontaneous regression.,Â Extended excision is treatment of choice.,,5,
5070,Pathology,Inlammation,Pyrexia is caused bywhichofthe following,Â PGE2,Â PGI2,Â LIPOXIN,Â IL8,,1,
5071,Pathology,Gen path,Which of the following is considered as Negative acute phase reactant?,Â Ferritin,Â Albumin,Â Fibrinogen,Â Haptoglob,,2,
5072,Pathology,Gen path,Which selectin is stored within weibel palade bodies?,Cadherins,P-Selectin,E-Selectins,L-Selectin,,2,P-selectin (CD62P) is stored within endothelial weibel palade bodies.
5073,Pathology,Gen path,Interleukin secreted by Thl7 cell,IFN Gamma,1122,116,1116,,2,
5074,Pathology,Inflammation,The following enzyme is otherwise called TACE (TNF converting enzyme),Â Matrix metalloproteinase,Â Serine proteinase,Â Hyaluronase,Â ADAM-17,,4,"ADAM metallopeptidase domain 17 (ADAM17, also called TACE (tumor necrosis factor - alpha converting enzyme that belongs to the ADAM protein family of disintegrins and metalloproteases."
5075,Pathology,Inflammation,Which ofthe following is not the action of TGF-Beta,Â Anti-inflammatory,Â Proliferations of fibrous tissue,Â Inhibition of metalloptpteinases,Â Anaphylaxis,,4,"Transforming growth factor-beta is the most important cytokine forfibrosis.They are also associated with Angiogenesis, Anti-inflammatory actions, and Up regulation of tissue inhibitor of metalloproteinases-3 gene expression (within chondrocytes"
5076,Pathology,Inlammation,Acute phase reactant(s) in acute inflammation is are:,Â Haptoglobin,Â C-reactive protein,Â Alpha-1 acid glycoprotein,Â Prostaglandins,Â Fibrinogen,1,
5077,Pathology,Inlammation,"All of the following are true about serous inflammation, except",Â Apattern of acute inflammation,Â Exudation of cell-poor fluid,Â Fluid in infected by destructive organism,Fluid does not contain large numbers of,,3,"Serous inflammation is a pattern of acute inflammation marked by the exudation of cell poor fluid into spaces created by cell injury or into body cavities lined by the peritoneum, pleura, or pericardium. Fluid in serous inflammation is not infected by destructive organisms ans it does not contain large numbers of leukocytes."
5078,Pathology,Gen path,Stellate Granuloma are seen in,Â Cat scratch disease,Â Sarcoidosis,Â tuberculosis,Histoplasmosis,,1,
5079,Pathology,Gen path,True statement about alternative macrophage activation,Induced bythe cytokine IFN-y,Kill ingested organisms,Secrete cytokinesthatstimulate inflammation,Main function is in tissue repair,,5,
5080,Pathology,Inflammation,Durckgranuloma is seen in,Congenital syphilis,Cat scratch disease,Histoplasmosis,Cerebral malaria,,4,
5081,Pathology,Inflammation,"All of the following are pyrogenic cytokines, except",Â Interleuken 18 IL-18,Â Interleuken 6 IL-6,Tumor necrosis factor TNF,Interferon a. IFN-a,,5,
5082,Pathology,Gen path,Suicide enzyme is ?,Â 5-Nucleotidase,Â 5-Lipooxygenase,Cyclooxygenase,Dehydrogenase,,3,
5083,Pathology,Gen path,Interleukin responsible for pyrexia is -,IL-l,IL-6,INF-y,IFN-a,,1,
5084,Pathology,Hematology,At which stage neutrophil appear in peripheral blood circulation from bone marrow?,Myeloblast,Promylecyte,Myelocyte,Band form,,4,
5085,Pathology,Hematology,C in CRP stands for -,Concanavalin A,"Chondroitin sulfate in series with ARP, BRP",Capsular polysaccharide of Pneumococcus,Cellular,,3,
5086,Pathology,Hematology,Provisional matrix is made up of,Fibrin,Fibronectin,Fibrinogen,All of the above,,4,
5087,Pathology,Hematology,Which Among The Following Does Not Secrete Interleukin-I Alpha,Â Lymphocyte,Â Fibroblast,Â Macrophage,Â Neutrophils,,4,
5088,Pathology,Inflammation,Acute phase reactants are all except -,Â C-reactive protein,Â Haptoglobin,Â Endothelin,Fibrinogen,,3,
5089,Pathology,Inflammation,Touton giant cells are seen in,Cat scratch disease,Sarcoidosis,Xanthomas,Neurofibroma,,3,
5090,Pathology,Hematology,Immediate transient type of increase vascular permeability in acute inflammation-,Venules,Capillaries,Arterioles,None,,1,
5091,Pathology,Hematology,Epithelioid cell is a modified,Lymphocyte,Macrophage,Mast cell,Eosinophil,,2,
5092,Pathology,Hematology,Exudation of plasma and leucocytes in acute inflammation is from the,Venules,Capillaries,Arterioles,Arteriole and capillaries,,1,
5093,Pathology,Immunology,Endogenous chemo-attractants are all except,C5a,C3a,Integrin,IL-8,,3,
5094,Pathology,Gen path,Regeneration is replacement of lost tissue by,Â Surface epithelium,Â Granulation tissue,Â Living tissue of any kind,Living tissue of similar kind,,4,RegenerationIt is a protective mechanism of epithelial cells where lost parenchymal cells are replaced by division ofadjacent normal parenchymal cells There will be complete restoration of normal tissue.
5095,Pathology,Hematology,"In Cyclo-oxygenase pathway, the formation of the arachidonic acids products which of the following helps in the promote platelet aggregation and vasoconstriction",Â C5a,Thromboxane A2,Leukotriene B4,C activator,,2,
5096,Pathology,Neoplasia,The nuclei of Langhans giant cells,Â Are present at the centre,Â Form a network,Â Are arranged radially,Are arranged around the periphery,,4,
5097,Pathology,Immunology,The most important mediator of Chemotaxis among following is,C3b,C5a,C4a,C2,,2,
5098,Pathology,Inflammation,Myofibroblast is seen in -,Â Normal connective tissue,Â Muscle septa,Wound margin,Bronchus,,3,
5099,Pathology,Hematology,When leukocytes are arranged along the endothelium of blood vessels it is called,Diapedesis,Adhesion,Margination,Chemotaxis,,3,
5100,Pathology,Genetic disorder,In genetic deficiency of MPO the increased susceptibility to infection is due to,Â Defective production of Prostaglandins,Â Defective rolling of peutrophils,Inability to produce hydroxyP-halide radicals,Inability to produce hydrogen peroxide,,3,
5101,Pathology,Inflammation,Which leukotriene is the adhesion factor for the neutrophil on the cell surface to attach to endothelium?,B4,C4,A4,E4,,1,
5102,Pathology,hematology,The eosinophils secretes all except,Â Major basic protein,Â Hydrolytic enzyme,Â Reactive form of 02,Eosinophilic chemotactic factor,,4,
5103,Pathology,Inflammation,Bradykinin is a cleavage product of -,Kininogen,Prekallikrein,Kallikrein,Histamine,,1,
5104,Pathology,Neoplasia,Immune granulomas are not seen in,Tuberculosis,Syphilis,Silicosis,Berylliosis,,3,
5105,Pathology,Inflammation,Most important inflammatory mediator in acute inflammation is-,Â TNF-a,Â IL-2,Interferon,Â PAF,,1,
5106,Pathology,Inflammation,In acute inflammation pain is mediated by-,Serotonin,Histamine,Bradykinin,Cytokines,,3,
5107,Pathology,Neoplasia,All are true regarding Granulation tissue except:,Â It's a hallmark of wound healing,Â It contains fibroblast,Contains thin walled capillaries,Â Often contains granuloma,,4,
5108,Pathology,Gen path,Integrins include all the following receptor except -,Â Fibronectin,Â Glycoprotein on platelet surface,Leukocyte adhesion molecule,Â Platelet derived growth factor,,4,"Integrin	Promote cell to cell or cell to matrix adhesion.	The extracellular domain binds to:a)	Matrix glycoproteinsb)	Adhesions molecules on other cellsc)	Activated complement componentsd)	Fibronectin and vitronectin molecules"
5109,Pathology,Immunology,Which one of the listed cells is thought to be the source of hepaticstem cells?,Ito cells,Limbus cells,Oval cells,Satellite cells,,3,
5110,Pathology,Gen path,Laminin and fibronectin are involved in all the following cellfunction except-,Adhesion,Migration,Apoptosis,Differentiation,,3,
5111,Pathology,Gen path,The tensile strength of the wound starts and increase after -,Â Immediate suture of the wound,Â 3 tO 4 days,7 to 10 days,Â 6 months,,4,
5112,Pathology,Hematology,"Sepsis patient with total leucocytes count of 000, neutrophilis 40 %, eosinophil is 7%, Band cells %, metamyelocytes 5 %,and lymphocytes are 35 %.Then what will be i/t (immature WBC/ total WBC):",0.2,0.23,0.3,0.33,,1,"Immature cells â€”band cells =15% means 2250.	Metamyelocytes=5% means 750.	So,immaturecellcount=3000.	Now i/t=3OOO/15OOO=l/5 and % is 20% so ans is 20%"
5113,Pathology,Gen path,Complete restoration of tensile strength of the woun comparableto normal tissue takes as long as,Two weeks,Six weeks,Six months,Never regains,,4,
5114,Pathology,Gen path,Which occurs first in wound healing?,Â Thin continuous epithelial cover appears,Â Fibroblasts lay down collagen fiber,Granulation tissue fills the wound,Â Neutrophils line the wound edge,,4,
5115,Pathology,Immunology,"All of the following stem cell population are found within the bone marrow,except-",Endothelial progenitor cells,Myoblast progenitor cells,Mesenchymal stem cells,Hematopoetic stem cells,,2,"Myoblast progenitor cells are not seen in bone marrow but theyare indirectlyderivedfrom mesenchymal cells.	Endothelial progenator cells; Mesenchymal stem cell and Hematopoeticstem cells are seen in bone marrow."
5116,Pathology,Gen path,Highest concentration of hydroxyproline is seen in,Elastin,Collagen,Fibrous tissue,Gelatin,,2,
5117,Pathology,Gen path,Concept of â€œEPITHELIAL-MESENCHYMAL TRANSITIONâ€ù isassociated with-,Organ fibrosis,Metastases,Wound healing,All of the above,,4,
5118,Pathology,Gen path,Wound healing is the summation of following processes except,Â Coagulation,Â Matrix synthesis,Angiogenesis,Â Fibrolysis,,4,
5119,Pathology,Gen path,Keloid scars is made up of,Â Dense collagen,Â Loose fibrous tissue,Granulomatous tissue,Â Loose areolar tissue,,1,
5120,Pathology,Infectious disease,"A 5 -year-old child has a history of recurrent infections with pyogenic bacteria, including Staphylococcus aureus and Streptococcus pneumoniaeThe infections are accompanied by a neutrophilic leukocytosisMicroscopic Examination of a biopsy specimen obtained from an area of soft tissue necrosis shows microbial organisms, but very few neutrophilsAn analysis of neutrophil function shows a defect in rollingThis child's increased susceptibility to infection is most likely caused by a defect in which of the following molecules?",Selectins,Integrins,Leukotriene B4,NADPH oxidase,,1,"The patient has a defect in leukocyte rolling, the first step intransmigration of neutrophils from the vasculature to thetissues. Rolling depends on interaction between selectins (P-selectin and E-selectin on endothelial cells, and L- selectin onleucocytes ) and their sialylated ligand molecules (e.g.,sialylated Lewis X).	Integrins are involved in the next step of transmigration, duringwhich there is firm adhesion between neutrophils andendothelial cells.	Leukotriene B4 is a chemotactic agent, complement C3bfacilitates phagocytosis, and NADPH oxidase is involved inmicrobicidal activity."
5121,Pathology,Hematology,A growth factor that is capable of inducing all the steps necessary for angiogenesis is:,Â Epidermal growth factor [EGF],Â Platelet-derived growth factor [PDGF],Â Basic fibroblast growth factor [FGF],Â Transforming growth factor B [TGF-p],,3,"Basic FGF, is capable of inducing all of the stages of angiogenesis(basement membrane and extracellular matrix degradation,endothelial migration, endothelial proliferation, and endothelialdifferentiation)."
5122,Pathology,Infectious disease,"A 12-month-old boy with a 5 month history of repeated infections has had a fever and cough for the past 3 daysA Gram stain of sputum shows many gram-positive cocci in chainsCBC shows neutrophiliaLaboratory studies show that the patient's neutrophils phagocytose and kill organisms normally in the presence of normal human serum, but not in his own serumThe neutrophils migrate normally in a chemotaxis assayWhich of the following is the most likely cause of the child's increased susceptibilityto infection?",Â Deficiency of integrins,Â Neutrophil microtubular protein defect,Â Immunoglobulin deficiency,Â Defective neutrophil generation of hydrogen peroxide,,3,"The patient has immunoglobulin deficiency, which preventsopsonization and phagocytosis of microbes. Deficiency of integrinsand selectins, or a defect in microtubules, would prevent adhesionand locomotion of neutrophils. H2O2 production is part of theoxygen-dependent killing mechanism.This mechanism is intact inthis patient because the neutrophils are able to kill bacteria whenimmunoglobulins in normal serum allow phagocytosis."
5123,Pathology,Neoplasia,Histologic sections of tissue taken from esophageal lesion reveal an ulceration of the esophageal mucosa with histopathological findings shown below in th% pictureWhich one of the following correctly describes this ulcerated area?,Â Caseating granulomatous inflammation,Â Dysplastic epithelium,Â Granulation tissue,Â Noncaseating granulomatous inflammation,,3,"Tissue repair involves the formation of granulation tissue, whichhistologically is characterized by a combination of proliferatingfibroblasts and proliferating blood vessels as seen in given image.Proliferating cells are cells that are rapidly dividing and usuallyhave prominent nucleoli"
5124,Pathology,Inflammation,"Which one of the listed substances is produced by the action of lipoxygenase on arachidonic acid, is a potent chemotactic factor for neutrophils, and causes aggregation and adhesion of leukocytes?",C5a,IL-8,Thromboxane A2,Leukotriene B4,,4,Leukotriene B4 is a potent chemotactic agent that also causesaggregation and adhesion of leukocytes.
5125,Pathology,Neoplasia,"Typically, sarcoid granuloma has the following features except:",Â Non caseating granuloma >,Â Giant cells have cytoplasmic inclusions,Â Peripheral mantle of lymphocytes,Fibroblastic proliferation at the periphery of a granuloma,,3,"In sarcoidosis,Typically granulomas may not have surrounding rimof mononuclear cells and are known as naked granulomas"
5126,Pathology,Hematology,Identify the marked cell (arrow) shown in the given image?,Lymphocyte,Macrophage,Plasma cell,Eosinophil,,3,Cells are spherical or ellipsoid with basophilic cytoplasm. Plasmacell have a well- defined perinuclear clear zone (hoff) that containsthe Golgi apparatus.
5127,Pathology,Hematology,Which of the following cell will be increased in case of parasitic infection?,A,B,C,D,,2,"Image shows, A: Neutrophil, B: Eosinophil. C: Lymphocyte, D:Basophil."
5128,Pathology,Inflammation,"A 50-year-old man has had a cough and fever for the past 2 months and transbronchial lung biopsy is performed, yielding a specimen with the microscopic appearance shown in the following imageWhich of the following is most important in the pathogenesis of this lesion?",Â Bradykinin,Â Complement C5a,Â Interferon-y,Â Prostaglandins,,3,(Image shows noncaseating granulomatous Inflammation withmany Langhans giant cells. Most important cytokine for granulomaformation is Interferon gamma)
5129,Pathology,Infectious disease,Lung biopsy from a pneumonia patient was obtained and it has shown histopathological features as given in the following imageWhich is correct statement:,Cytomegalovirus pneumonia,Tubercular pneumonia,Histoplasmosis,Hecht's Pneumonia,,5,It is caused by measles virus and it is showing Warthin finkeldey giant cells in histopathology
5130,Pathology,Gen path,Given Image is showing macrophage mediated processMost likely it is?,Autophagy,Emperipolesis,Phagocytosis,Necrosis,,2,
5131,Pathology,Gen path,Integrin connects the extracellular matrix with the actin cytoskeleton by which macromolecule?,Laminin,Collagen,Fibronectin,Vitronectin,,3,
5132,Pathology,Gen path,A 12 year boy have cut in the forearm 4 days earlier and now bleeding has been stopped due to granulation tissue formationWhich type of collagen is found in this granulation tissue.,Type 1,Type 2,Type 3,Type 4,,3,
5133,Pathology,Inflammation,Which of the following is the correct sequence of cellular events of acute inflammation?,Rollingâ€”Stable adhesionâ€”Activation of integrinsâ€” migration via endothelium.,Rolling â€”Activation of Integrinsâ€” Stable Adhesionâ€” migration via endothelium.,Â Stable adhesionâ€”Rollingâ€”Activation of integrinsâ€” migration via endothelium.,Activation of integrins-â€” migration via endotheliumâ€”stable adhesionâ€”Rolling,,2,
5134,Pathology,Inflammation,Durcks granuloma seen in,Â Spleen,Â Heart,Â Brain,Â Lymph node,,3,
5135,Pathology,Immunology,Classical pathway Macrophage activating molecule is,Â INF gamma ',Â IL4,Â IL13,Â 111,,5,
5136,Pathology,Inflammation,Negative acute phase response protein is,Â Fibrinogen,Â Ferritin,Â Albumin,Â All of the above,,3,
