S.No,System,Question,1,2,3,4,,Ans,Explanation
58,Blood,Hemophilia B results due to lack of which of the following factors of coagulation?,Factor V,Factor VIII,Factor IX,Factor X,,3,Factor IX is also called christmas factor of AHB-B. Its deficiency produce  christmas disease or hemophilia B.
59,Blood,Haemophilia is:,Autosomal dominant,Autosomal recessive,X-linked recessive,X-linked dominant,,3,"Hemophilia is an inherited sex linked anamoly due to an abnormal gene on X-cgriisine. In the presence of another X-chromosome the gene act as a recessive i.e., individual has no sign of hemophilia bu can transmit the desease."
60,Blood,Father to son inheritance is never seen in case of:,Autosomal dominant inheritance,Autosomal recessive inheritance,X-linked recessive inheritance,Multifactorial inheritance,,3,"Chromosomes which is transferred from father to son is only Y, therefore, all diseases which are parent on X-chromosome whether dominant or recessive cannot be transferred to son by father."
61,Blood,Activity of factor VIII procoagulantis deficient in:,Haemophilia,Von Willibrand's disease,I.T.P.,Sickle cell anaemia,,1,
62,Blood,Lack of Vitamin K causes deficiency of all except:,Prothrombin,Fibrinogen,Factor VII,Factor X,,2,
63,Blood,Vitamin K required for the synthesis of all clotting factors except:,VIII,IX,X,III,,4,
64,Blood,Hepatic formation of which of the following is not dependant on Vitamin K?,Fibrinogen,Prothrombin,Chritmas factor,Stuart prower factor,,1,
65,Blood,Which of the clotting factors is not formed by liver?,I,II,IV,IX,,1,"Factor IV is Ca2+, which is obtained frm the diet directly."
66,Blood,"In purpura, which is not seen:",Platlets count may be low,Capillary contractility is defective,CT is normal but BT increases,Deficiency of vitamin K,,4,Pupura is a clinical condition in which the capillary abnormality results in bleed-ing. It is characterised by prolongation of bleeding time (BT) and get recipitated by low platelet count.
67,Blood,Primary purpurais:,Congenital disorder,Due to allergies,Clotting time is prolonged,Capillaries re normal,,1,Also called as idiopathic purpura and usally occurs in children
68,Blood,"Secondary purpuar , false statement is:",Also called as symptomatic purpura,Capilliaries are anatomically normal,Capillaries do not contract effective-ly in responsive to injury,Platelets count is very low,,4,"Secondary pupura is due to some underying cause such as allergies, infections etc‰Û_"
69,Blood,Bleeding in thrombocytopenic purpura usually occurs when platelet count is reduced below:,1.5 lac/åµL,"75,000/åµL","50,000/åµL","25,000/åµL",,3,"Thrombocytopenic pupura is associated with low platlet count, usally <50,000 per. It results in poor clot retraction."
70,Blood,Differentiation/recognition of blood groups is based on :,Agglutinin,Agglutinogen,(a) and (b) both,IgM,,2,
71,Blood,The least frequent blood group in India is:,A,B,AB,O,,1,
72,Blood,Agglutination is :,Also referred as rouleaux formtion,Reversible process,Clumping of RBCs,RBCs pile one over another,,3,
73,Blood,Fasle regarding blood group specific substance 'O':,Does not normally act as an agglutinogen,Has no corresponding agglutinin,Helps in recognition of blood group of an individual,Least frequent blood group,,4,
74,Blood,Blood group 'O' RBCs are agglutinated by:,Agglutinin ÌÊ,Agglutinin ÌÙ,Both by ÌÊ and ÌÙ,Neither by ÌÊ nor ÌÙ,,4,
75,Blood,Agglutinin a and b are globulin of :,IgG type,IgA type,Igm type,IgD type,,3,
76,Blood,Full  description of four classical 'ABO' blood group is :,AÌÊ; BÌÙ; AbÌÊÌÙ; O,AÌÙ; BÌÊ; AB; OÌÊÌÙ,AÌÊ; BÌÙ; AbÌÊÌÙ; O,AÌÙ; BÌÊ; AbÌÊÌÙ; O,,2,
77,Blood,"In a person with type O blood, what type or types of agglutinins does he have in plasma?",None,Alpha,Beta,Alpha and beta,,2,
78,Blood,Classical 'ABO' blood groups agglutinogen first appear:,In the 6th week of foetal life,At birth,1 year of life,10 years of life,,1,
79,Blood,"Although more than 30 blood groups have been identified,the ABO blood group system remains the most important in clinical medicine because:",It was the first blood group system to be discovered.,"It has four different blood groups: A, B, AB and O",ABO antigens are present  in most body tissues and fluids.,ABO antigens are invariably present in plasma when persons RBCs lack the corresponding antigen.,,4,
80,Blood,Blood group antigens are:,Carried by sex chromosomes,Attached to plasma proteis,Attached to haemoglobin molecule,Found in saliva,,4,
81,Blood,ABO antigens are not found in,CSF,Semen,Amniotic fluid,saliva,,1,
82,Blood,"With respect to blood groups, maximum titre of agglutinin is usually reached:",At birth,1-3 years of age,4-7 years of age,8-10 years of age,,4,
83,Blood,True about cold antibodies:,Act best at low temperature between 20å¡C to 37å¡ C,Act against undiluted RBCs,Are globulin of IgM type,Can cross the placenta readily,,3,
84,Blood,"If a person has 'B' blood group, all are true except:",He may have genotype 'B',His father could have blood group 'O',His children will have either 'B' or 'O' group,And his wife also has blood group 'B' all their children will have blood group 'B' or 'O',,1,
85,Blood,Rhesus blood group was discovered by:,Karl Landsteiner,Frank and Starling,Landsteiner and Weiner,W.E. Canon,,3,
86,Blood,Rh negative individuals are those:,Whose serum contains no Rh antibody,Whose RBCs contain antigen D,With absence of Rh antigen on their RBCs membrane and their serum also contains no Rh antibody,In whom production of anti-D antibodies can be provoked by other blood groups,,3,
87,Blood,Rh negative percentage of individuals in india is:,5%,15%,42%,85%,,1,
88,Blood,Regarding warm antibodies false statement is:,Are of lgG type,Act best at body pemperature,Can cross the placenta,Examples are:  ÌÊ and ÌÙ agglutinin,,4,
89,Blood,The Rh antigen is :,A,B,C,D,,4,
90,Blood,True about RH factor:,Has no naturally occuring antibody,Seen only in humans,Not important for blood transfusion,Discovered by Karl Landsteiner,,1,
91,Blood,Rh factor is :,IgM antibody,Mucopolysaccharide,IgG antibody,Fatty acid,,2,
92,Blood,The absence of anti-A and anti-Rh agglutinins in plasma means the subject is:,A-positive,A-negative,AB-positive,Any of the above,,4,
93,Blood,Absence of anti-A and anti-Rh agglutinin in the plasma means that subject is:,A-positive or AB-positive,A-negative or AB-negative,"A-positive, AB-positive, A-negative or AB-negative",Type O-positive,,2,
94,Blood,Minimum amount of Rh positive blood required for transfusion to provoke Rh-anti-bodiesi n a Rh negative individual is ml:,0.5ml,10,50,100,,1,
95,Blood,which one of the following represents the most potenially dangerous situation?,Rh-positive mother with 2nd Rh-negative child,Rh-negative mother with 2nd Rh-positive child,Rh-positive mother with 1st Rh-negative child,Rh-negative mother with 1st Rh-positive child,,2,
96,Blood,"Rh-negative mother carrying Rh-positive foetus, first child born is usually normal because:",Mother does not have agglutinogen D,Anti-Rh titre developed is not sufficiently high to destroy the foetal RBCs,Foetal agglutinogen D cannot cross the placenta,Anti-Rh titre developed in the mother's plasma cannot cross the placenta to destroy the foetal RBCs,,2,
97,Blood,"In most instances of erythroblastosis foetalis, a feature not seen is :",The foetus is Rh-positive,The mother is Rh-negative,Many of the foetal red blood cell are nucleated,First child born is usually affected,,4,
98,Blood,Prevention of  erythroblastosis in Rh-positive babies with the Rh-negative mother is by:,Passive immunizing the mother against Rh-positive  factor soon after child birth,Above immunization to be carried out during the pregnancy,Destruction of Rh-positive cells in foetus by anti-Rh antibodies,Fresh blood transfusion to the baby immediately after birth,,1,
99,Blood,A baby with erythroblastosis foetalis can safely by given exchange transfusion with blood group:,Rh-positive,Rh-negative,O' Rh-negative,O' Rh positive,,2,
100,Blood,In cross-matching before blood transfusion:,Donor's RBCs are mixed with recipient plasma,Donor's RBCs are mixed with recipient RBCs,Donor's plasma is mixed with recipient RBCs,Donor's plasma is mixed with recipient plasma,,1,
101,Blood,"An A-negative person with high titre of anti-Rh antibodies is to be given whole blood transfusion, which of the following is most important as a precaution?",check for agglutination of person's RBCs in donor's plasma,check for agglutination of person's plasma with donor's RBCs,Direct cross-matching of blood,check for agglutination of person's RBCs with donor RBCs,,3,
102,Blood,In emergency blood transfusion of patient should be with:,RBCs corresponding to the red cell group and colloid/ crystalloid,Whole blood group corresponding to the plasma group,O' negative RBCs,AB negative whole blood.,,3,
103,Blood,Commonly seen earliest sign of blood transfusion reaction is:,Jaundice,Haemoglobinuria,Voilent pain in the back or elsewhere,Skin rashes,,3,
104,Blood,transfusion reaction may lead to all except:,Fever,Uremia,Oliguria or anuria,Leucopenia,,4,
105,Blood,Death usually occurs if more than ‰Û_.ml of incompatible blood is transfused:,50ml,150ml,250ml,350ml,,1,
106,Blood,Massive transfusion with citrated blood may result in:,Kidney failure,Tetany,Alkalosis,Hypothermia,,2,
107,Blood,A man blood group B cannot be the biological father of a child with an AB blood type if:,The mother is type O,The mother is type A,The mother is type AB,The mother is Rh-positive,,1,
108,Blood,Addition of glucose to stored blood is to:,Prevents hemolysis,Provides nutrition,Increases haemoglobin content,Decreases the PH,,4,
109,Blood,"""Fresh"" blood refers to blood which is administered:",Immediately,Within 12 hours,Within 24 hours,Within 72 hours,,3,
110,Blood,Major loss of RBCs in stored blood occurs in:,First 24 hours,48-72 hours,3-7 days,14-21 days,,1,
111,Blood,Storage of blood beyond 7 days shows all except:,Increase in prothrombin time,Decrease in glucose,Increase in lactic acid,Decrease plasma [K+],,4,
112,Blood,Stored blood as compared to fresh blood has,"More 2, 3 DPG",High extracellular K+,High extracellular haemoglobin,Increase platelets.,,2,
113,Blood,Mean life of RBCs in transfused blood is ‰Û_....days:,120,100,60,14,,3,
114,Blood,Half-life of transfused  platelets is:,4 hours,12 hours,8 days,15 days,,2,
115,Blood,Which one of the following changes would not occur in blood after 7 days of storage?,Decreased concentration of dextrose and increased concentration of lactic acid,Decreased concentration of plasma potassium,An increased prothrombin time,Decreased concentration of platelets,,2,
116,Blood,Which of the following shows little change in stored blood?,Na+,K+,Lactic acid,Ammonia,,1,
117,Blood,All type of immune response are fundamentally mediated by:,Tissue macrophages,Lymphoid tissues,Lymphocytes,Plasma cells,,2,
118,Blood,Lymphoid tissues contain all except:,T and B lymphocytes,Lymphocytes which are processed in the thymus,Responds to antigen by relealing either sensitized Iymphocytes or antibodies or both,Polymorphonuclear leucocytes,,4,
119,Blood,Which is not true about tissue macrophage system?,Previously called as reticulo-endothelial system,It consists of special group of phagocyte cells,It is found in different part of the body having common characteristic features,Lymphoid tissues form  a part of this system,,4,
120,Blood,Which is not a function of tissue macrophage system?,All blood cells get destroyed here,Concerned with the defence of the body against infection,Capable of phagocytosing large foreign colloidal particles,Forms and secretes antibodies,,4,
121,Blood,"The function common to neurophils, monocyte and macrophage is",Immune response,Phagocytosis,Liberation of histamin,Destruction of old erythrocytes,,2,
122,Blood,Reticule-endothelial system derived from monocytes include all of following except:,Kupffer' cell,Alveolar macrophages,Macrophages of spleen and bone marrow,Natural killer cells,,4,
123,Blood,Immune complexes are removed from blood by:,B-cell,Basophil,Plasma cells,Kupffer cell,,4,
124,Blood,Macrophages are the mature form of :,Basophils,Eosinophils,Lymphocytes,Monocytes,,4,
125,Blood,What type of cells found in lymph nodes phagocytizes unwanted particles?,Basophils,Lymphocytes,Plasma cells,Macrophages,,4,
126,Blood,Which leucocytes do not have phagocytic:,Neutrophil,Eosinophils,Lymphocytes,Monocytes,,3,
127,Blood,"Thymus, which statement is true?",Following its removal in neonates lymphoid tissues of other sites fail to develop,Inhabit differentiation of stem cells in the bone marrow into lymphocytes,Check the development of lymphoid tissues,From and secrete antibodies,,1,
128,Blood,If thymus is removed a few years after birth:,Cellular immunity will be lost,Humoral immunity will be lost,Both cellular and humoral immunity will be lost,Both cellular and humoral immunity will be present,,4,
129,Blood,Immunologically complete lymphocytes are:,B. lymphocytes,Responsible for production of humoral immunity,Lymphocytes from bone marrow conditioned in the thymus glands,"Non-T, Non-B Lymphocytes",,3,
130,Blood,Lymphoid tissues in lymph node and spleen contribute to the formation of:,Fibrinogen,Albumin,Ì-globulin,Prealbumin,,3,
131,Blood,Which one of the following statements about lymphocytest is incorrect?,"Produced by thymus, red bone marrow, spleen and lymph nodes",Concentration falls in the blood abruptly and immune reaction is disturbed after removal of thymus in adult,Constitute 20%-40% of leucocytes,Do not perform an important phagocytic function,,2,
132,Blood,Lymphocytes production is increased by all of the following except:,Thyroxine,Glucocorticoids,Folic acid,Pyridoxine,,2,
133,Blood,Percentage of T-lymphocytes in pertipheral blood is:,20-30%,40-60%,60-80%,Above 85%,,3,
134,Blood,T-lymphocytes survive for:,Few days or weeks,Few months,1-2 years,2-4 years,,4,
135,Blood,T-lymphocyte:,Mature in lymph nodes,Produce antibodies,Comprise 10 to 15% lymphocytes,Principal cell in lymph node cortical centre,,1,
136,Blood,Plasma cells are formed in:,Lymph node,Bone marrow,Liver,Spleen,,1,
137,Blood,Not true about plasma cells is:,Very active cells,A particular cell is capable of forming many types of antibodies,Forms and secrets immunoglobulin,Formed in the lymph nodes,,2,
138,Blood,True about spleen is that:,It is not essentional for life,Normally forms RBCs during adult life,Its removal causes thrombocytopenia,Its removal causes leucopenia,,1,
139,CVS,True about lymph capillaries is:,Have smaller diameter than blood capillaries,Less permeable than blood capillaries,Have no endothelial lining,Have a discontinuous basement membrane,,4,
140,CVS,The thoracic duct empties into:,Right atrium,Inferior ven cava,Superior vena cava,Left subclavian vein,,4,
141,CVS,Lymphatic system exists in all the organs with the exception of:,Liver,Spleen,Central nervous system,Intestine,,3,
142,CVS,The principal function of lymphatics is to carry:,Fluid,Protein,Salt,Blood cells,,2,
143,CVS,Lymph of which organ has highest protein concentration upto 6 gm/dl?,Liver,Intestine,Thoracic duct,Legs,,1,
144,CVS,Milky colour of the lymph in intestinal region is due to:,Carbohydrates,Cellular comonents,Lipids,NPN substances,,3,
145,CVS,Total quantity of lymph entering circulation daily is:,1 Litre,2 Litre,2-4 Litres,4-6 Litres,,3,
146,CVS,Rate of lymph flow in thoracic duct is:,0.1-0.5 ml/min,0.5-1 ml/min,1-2 ml/min,2-5 ml/min,,2,
147,CVS,"For lymph to flow, a pressure differential is necessary. This may be maintained by all except:",Muscle contraction,Repiatory movements,Lymphatic values,Circulating blood volume,,4,
148,CVS,Which of the following do not cause increased lymph flow?,Increased capillary pressure,Decreased plasma protein concentration,Increased capillary permeability,Increase in plasma osmotic pressure,,4,
149,CVS,Lymph flow from the foot is:,Increase when and individual rises from the supine to standing position,Increased by messaging the foot,Increased when capillary permeability is deceased,Decreased when the valves in the leg veins are incompetent,,2,
150,CVS,Which of the following will cause increase in flow of lymph?,During sleep,Increase in plasma osmotic pressure,Hypoxia,During expiration,,3,
151,CVS,The most important hysiological function of the lymphatic system is to:,Transport fluid and proteins away from the interstitum,Concentrate proteins in the lymph,Remove particulate materials from the interstitum,Create negative pressure in the free intestitial fluid,,1,
152,Blood,First line of body defence to control the invading organism involves:,Acquired immune system,Physical barriers (skin/epithelial lining,Natural immune system,Humoral immune system,,2,
153,Blood,Natural immuniy is,Non-specific to a paticular microorganism,specific immunity against each species of  microorganism,immunity induced by vaccines,It develops after birth,,1,
154,Blood,Immunity available since birth is,Natural immune system,Acquired immune system,Specific for a paticular microorganism,Physical barriers like skin and epithelial linings,,1,
155,Blood,Humoral responses of natural immune system include:,Neutrophil,Complement system,Macrophages,B and T-lymphocytes,,2,
156,Blood,Natural cell mediated responses involve all of the following  cells except:,Neutrophils,Monocytes,Macrophages,T-lymphocytes,,4,
157,Blood,Members of natural immune system include all except:,Macrophage system,Lysozyme,Natural killer cells,Activated T-lymphocytes,,4,
158,Blood,The number of proteins constituting complement system number:,8,11,15,20,,2,
159,Blood,Antigen antibody reaction activates complement system by:,Direct or classical pathway,Alternative pathway,properdin pathway,Mannose binding pathway,,1,
160,Blood,properdin (or alternative) pathway of the complement system is activated by:,Antigen-antibody reaction,Endotoxin,Lectine binding to mannose in bacteria,Classical pathway,,4,
161,Blood,Cells responsible for natural immunity are activated most commaly by:,Polysaccharides on bacterial cell wall,Glucocorticoids,Lectine binds  mannose group in bacteria,Antigen binding to antigen,,1,
162,Blood,Properdin:,Is a circulating protein,Destabilizes the activating enzyme complex,Mannose binding lectin,Antigen-antibody complex,,1,
163,Blood,Perforins are:,Phagocytised molecules,Pinocytised molecules,Cell membranes barrier,Pore forming molecules,,4,
164,Blood,Mast cell and basophil activation with amplification of inflammatory response is brought about by:,C3a,C3b,C6,C7,,1,
165,Blood,C5b of complement complex is known as:,Opsonizing complex,Lytic complex,Chemotaxic complex,Agglutinating complex,,3,
166,Blood,Opsonization and phagocytosis of bacteria is carried out by enzyme‰Û_... Of the complement system:,C3a,C3b,C5a,C6,,2,
167,Blood,Not-true for C-reactive protein is:,Check entry of foreign invaders,It coats the invading antigen,Activates the complement system,Inhibit protein synthesis,,4,
168,Blood,Interferons act by:,"Coating the invading antigens, thus facilitate phagocytosis",Inhibiting protein synthesis thereby inhibit viruses replication,Lysing the foreign invaders,Formation of perforins,,4,
169,Blood,Which statement is not true for natural killer cells:,"Also called non-T, non-B lymphocytes",They kill cell without prior sensitization,They destroy the cancer cells,Forms a major component of acquired immune system,,4,
170,Blood,True about acquired humoral immunity is:,Cnstitute a major defence against infections due to viruses,Cnstitute a major defence against bacterial infections,Cnstitute a major defence against fungi,It helps defence against tumours,,2,
